Age_Group,Gender,Education,Income,Region,Social_Media_Time,Marketing_Channels,Products_Purchased,Likelihood_Try_New_Brand,Influencing_Factors,Purchase_Last_3mo,Referral_Willingness,Monthly_Online_Spend,Interest_Recommendation_Service,Comfort_Data_Personalization,Biggest_Challenge,Cart_Abandon_Freq,Campaign_Satisfaction,Tech_Attitude
18–24,Female,Undergraduate,17857.0,South,2+ hours,"Facebook, SMS",Apparel,Unlikely,"Discounts/Offers, Product reviews",Yes,Very unlikely,812.0,No,Neutral,"Others, Slow delivery, Too many choices",Sometimes,4.0,
18–24,Female,Other,29037.0,East,1–2 hours,"Email, Other, SMS",Services,Likely,"Brand reputation, Visual appeal",Yes,Very unlikely,110.0,Maybe,Comfortable,"Others, Slow delivery",Rarely,2.0,Excited
25–34,Female,Undergraduate,21016.0,South,1–2 hours,"Email, Facebook, SMS",Apparel,Very unlikely,"Brand reputation, Friend recommendations",No,Neutral,2300.0,Maybe,Neutral,"Complicated checkout, Not enough discounts, Others",Sometimes,5.0,Neutral
45–54,Male,Undergraduate,21385.0,South,<30 mins,Facebook,Groceries,Unlikely,"Friend recommendations, Visual appeal",Yes,Neutral,975.0,Yes,Comfortable,"Others, Slow delivery",Sometimes,1.0,Excited
45–54,Male,,9397.0,South,1–2 hours,Email,Services,Likely,"Discounts/Offers, Friend recommendations",No,Likely,1942.0,Yes,Very comfortable,"Complicated checkout, Lack of trust, Not enough discounts",Sometimes,2.0,Skeptical
Under 18,Male,Postgraduate,101514.0,West,2+ hours,"Facebook, Google Ads, SMS",Apparel,Likely,"Discounts/Offers, Product reviews",Yes,Likely,1997.0,Maybe,Neutral,"Complicated checkout, Others, Slow delivery",Often,2.0,Neutral
25–34,Male,Undergraduate,58735.0,East,2+ hours,"Google Ads, SMS",Electronics,Very likely,"Brand reputation, Visual appeal",Yes,Very unlikely,3102.0,No,Very uncomfortable,Slow delivery,Sometimes,1.0,Open but cautious
25–34,Female,High school,57654.0,South,30–60 mins,"Facebook, Google Ads, Other",Electronics,Likely,"Discounts/Offers, Visual appeal",Yes,Unlikely,503.0,No,Neutral,Others,Never,4.0,Excited
18–24,Male,High school,41261.0,South,<30 mins,"Email, Facebook, Instagram",Services,Likely,"Brand reputation, Discounts/Offers",Yes,Unlikely,1429.0,No,Neutral,"Lack of trust, Too many choices",Always,2.0,Neutral
18–24,Male,Undergraduate,47702.0,South,30–60 mins,Other,Services,Neutral,"Brand reputation, Discounts/Offers",No,Neutral,1003.0,No,Comfortable,Too many choices,Sometimes,3.0,Skeptical
25–34,Male,Undergraduate,30402.0,North,2+ hours,"Email, Facebook",Groceries,Very unlikely,"Personalization, Product reviews",No,Unlikely,1097.0,Yes,Very comfortable,"Others, Too many choices",Never,2.0,Neutral
45–54,Female,Undergraduate,19328.0,West,1–2 hours,Facebook,Apparel,Unlikely,"Discounts/Offers, Friend recommendations",Yes,Unlikely,1579.0,Maybe,Neutral,"Complicated checkout, Lack of trust, Slow delivery",Often,5.0,Open but cautious
25–34,Male,Postgraduate,31865.0,North,30–60 mins,Other,Groceries,Likely,,Yes,Very likely,704.0,Maybe,Neutral,"Not enough discounts, Too many choices",Rarely,1.0,Open but cautious
25–34,Female,High school,35682.0,West,<30 mins,"Google Ads, Instagram",Electronics,Likely,"Brand reputation, Discounts/Offers",Yes,Likely,904.0,No,Comfortable,"Lack of trust, Slow delivery",Sometimes,5.0,Open but cautious
35–44,Male,Undergraduate,25544.0,South,30–60 mins,"Email, Instagram, Other",Electronics,Neutral,"Discounts/Offers, Visual appeal",No,Unlikely,180.0,No,Uncomfortable,Others,Sometimes,4.0,Disinterested
25–34,Male,High school,38266.0,East,30–60 mins,Email,Apparel,Likely,"Friend recommendations, Visual appeal",No,Neutral,725.0,Yes,Neutral,Others,Sometimes,,Neutral
55+,Female,Postgraduate,8200.0,Central/Other,2+ hours,"Email, Google Ads, SMS",Apparel,Likely,"Brand reputation, Product reviews",Yes,Neutral,2692.0,Yes,Very comfortable,"Not enough discounts, Too many choices",Often,1.0,Neutral
55+,Female,Postgraduate,12522.0,Central/Other,1–2 hours,"Other, SMS",Groceries,Unlikely,"Brand reputation, Visual appeal",No,Likely,1661.0,Yes,Comfortable,"Not enough discounts, Slow delivery",Sometimes,2.0,Open but cautious
25–34,Male,Undergraduate,50080.0,South,30–60 mins,Instagram,Electronics,Unlikely,"Personalization, Visual appeal",No,Neutral,1558.0,Yes,Very uncomfortable,"Not enough discounts, Slow delivery, Too many choices",Never,3.0,Neutral
25–34,Female,Undergraduate,191917.0,North,1–2 hours,Email,Apparel,Likely,"Brand reputation, Personalization",Yes,Unlikely,1726.0,Maybe,Uncomfortable,"Complicated checkout, Not enough discounts, Others",Always,2.0,Open but cautious
25–34,Female,Undergraduate,23810.0,East,<30 mins,"Email, Facebook",Electronics,Likely,"Brand reputation, Friend recommendations",Yes,Likely,1070.0,Maybe,Comfortable,"Others, Slow delivery, Too many choices",Always,4.0,Excited
25–34,Male,Undergraduate,17808.0,West,2+ hours,"Google Ads, Other",Services,Very likely,"Personalization, Product reviews",No,Neutral,2007.0,No,Comfortable,Lack of trust,Sometimes,1.0,Open but cautious
Under 18,Female,Postgraduate,16884.0,South,30–60 mins,"Email, Facebook, Instagram",Groceries,Unlikely,"Brand reputation, Discounts/Offers",No,Unlikely,709.0,No,Comfortable,"Complicated checkout, Not enough discounts",Sometimes,4.0,Disinterested
35–44,Female,Undergraduate,47207.0,East,30–60 mins,"Google Ads, Other, SMS",Apparel,Very likely,"Brand reputation, Discounts/Offers",Yes,Neutral,967.0,Yes,Neutral,"Lack of trust, Too many choices",Never,4.0,Neutral
25–34,Female,Undergraduate,33747.0,East,30–60 mins,Google Ads,Apparel,Neutral,"Friend recommendations, Product reviews",Yes,Neutral,955.0,Maybe,Very comfortable,"Complicated checkout, Lack of trust",Often,4.0,Excited
18–24,Female,Undergraduate,35996.0,West,1–2 hours,"Email, Google Ads",Apparel,Very unlikely,"Brand reputation, Visual appeal",Yes,Neutral,2082.0,Yes,Neutral,"Complicated checkout, Not enough discounts, Slow delivery",Never,4.0,Skeptical
25–34,Female,Postgraduate,19844.0,East,1–2 hours,"Facebook, Google Ads, Instagram",Services,Very likely,"Discounts/Offers, Visual appeal",Yes,Unlikely,671.0,Yes,,"Not enough discounts, Slow delivery, Too many choices",Never,2.0,Open but cautious
45–54,Female,Undergraduate,31672.0,North,1–2 hours,"Email, Google Ads",Electronics,Neutral,"Personalization, Visual appeal",No,Neutral,908.0,No,Comfortable,"Not enough discounts, Others, Too many choices",Sometimes,5.0,Open but cautious
18–24,Female,High school,18134.0,North,30–60 mins,"Email, Instagram",Electronics,Likely,"Discounts/Offers, Visual appeal",Yes,Very unlikely,769.0,Maybe,Uncomfortable,Slow delivery,Rarely,2.0,Open but cautious
18–24,Female,Undergraduate,33211.0,North,30–60 mins,Google Ads,Electronics,Unlikely,"Brand reputation, Personalization",No,Likely,2624.0,Maybe,Very comfortable,"Not enough discounts, Others, Too many choices",Never,3.0,Open but cautious
25–34,Female,Postgraduate,13410.0,East,<30 mins,"Facebook, Other",Electronics,Likely,"Product reviews, Visual appeal",No,Unlikely,1997.0,Yes,Uncomfortable,Not enough discounts,Sometimes,4.0,Open but cautious
55+,Female,High school,13695.0,North,1–2 hours,Google Ads,Services,Very likely,"Discounts/Offers, Visual appeal",Yes,Very unlikely,1443.0,Maybe,Neutral,Not enough discounts,Rarely,3.0,Open but cautious
18–24,Female,High school,25198.0,West,<30 mins,Other,Electronics,Neutral,"Product reviews, Visual appeal",Yes,Likely,1716.0,Yes,Comfortable,"Others, Slow delivery",Rarely,2.0,Neutral
35–44,Male,High school,55554.0,East,1–2 hours,Instagram,Apparel,Likely,"Brand reputation, Product reviews",Yes,Likely,557.0,Yes,Comfortable,Slow delivery,Never,4.0,Open but cautious
35–44,Female,Undergraduate,11356.0,Central/Other,2+ hours,"Email, Facebook",Apparel,Unlikely,"Discounts/Offers, Personalization",No,Likely,1542.0,Maybe,Comfortable,"Complicated checkout, Lack of trust, Too many choices",Rarely,2.0,Neutral
18–24,Female,Undergraduate,48719.0,East,2+ hours,"Facebook, SMS",Electronics,Likely,"Brand reputation, Friend recommendations",Yes,Neutral,1342.0,Maybe,Neutral,"Not enough discounts, Others",Sometimes,4.0,Excited
35–44,Male,Undergraduate,18668.0,West,30–60 mins,"Other, SMS",Services,Neutral,"Personalization, Product reviews",No,Unlikely,655.0,No,Neutral,"Complicated checkout, Not enough discounts, Too many choices",Often,2.0,Neutral
25–34,Female,Undergraduate,14661.0,Central/Other,30–60 mins,"Email, Other",Apparel,Neutral,"Brand reputation, Personalization",No,Likely,340.0,No,Very comfortable,Complicated checkout,Sometimes,1.0,Neutral
35–44,Male,Undergraduate,11227.0,East,<30 mins,"Google Ads, SMS",Services,Neutral,"Discounts/Offers, Visual appeal",Yes,Likely,1160.0,Maybe,Very uncomfortable,Not enough discounts,Sometimes,5.0,Neutral
35–44,Male,Undergraduate,19508.0,North,1–2 hours,"Email, Other",Groceries,Unlikely,"Discounts/Offers, Friend recommendations",No,Unlikely,1097.0,Maybe,Very comfortable,"Lack of trust, Not enough discounts",Never,5.0,Open but cautious
25–34,Female,Postgraduate,22173.0,South,2+ hours,"Facebook, Instagram, SMS",Apparel,Very likely,"Discounts/Offers, Visual appeal",No,Very likely,300.0,Maybe,Uncomfortable,"Lack of trust, Not enough discounts, Too many choices",Never,4.0,Neutral
18–24,Male,Undergraduate,8870.0,South,30–60 mins,"Other, SMS",Apparel,Neutral,"Friend recommendations, Personalization",Yes,Unlikely,1279.0,No,Comfortable,"Lack of trust, Too many choices",Rarely,1.0,Excited
45–54,Female,Other,12280.0,North,30–60 mins,Instagram,Apparel,Neutral,"Product reviews, Visual appeal",Yes,Very likely,1669.0,Maybe,Uncomfortable,Complicated checkout,Sometimes,,Skeptical
25–34,Female,Undergraduate,59054.0,South,2+ hours,"Email, Facebook, Google Ads",Groceries,Neutral,"Personalization, Visual appeal",No,Likely,1954.0,Maybe,Comfortable,"Complicated checkout, Lack of trust, Too many choices",Sometimes,1.0,Excited
18–24,Female,High school,10893.0,South,2+ hours,"Email, Google Ads, Instagram",Apparel,Neutral,"Discounts/Offers, Friend recommendations",No,Likely,1012.0,Yes,Very comfortable,Not enough discounts,Sometimes,4.0,Excited
Under 18,Male,Undergraduate,23982.0,North,30–60 mins,"Email, Instagram",Electronics,Likely,"Discounts/Offers, Personalization",Yes,Very likely,1251.0,Maybe,Neutral,"Others, Slow delivery",Sometimes,1.0,Open but cautious
25–34,Male,Undergraduate,16770.0,North,1–2 hours,"Facebook, Other, SMS",Electronics,Very likely,"Brand reputation, Personalization",Yes,Likely,1944.0,No,Comfortable,"Lack of trust, Not enough discounts",Rarely,3.0,Neutral
35–44,Female,Undergraduate,25248.0,East,30–60 mins,"Email, Facebook, SMS",Groceries,Neutral,"Personalization, Product reviews",Yes,Unlikely,1068.0,Yes,Comfortable,Slow delivery,Often,4.0,Excited
Under 18,Prefer not to say,High school,14362.0,East,<30 mins,"Facebook, Instagram, Other",Apparel,Very likely,"Friend recommendations, Product reviews",No,Neutral,684.0,No,Comfortable,"Lack of trust, Others, Too many choices",Sometimes,5.0,Disinterested
25–34,Female,High school,8331.0,North,2+ hours,"Facebook, Google Ads, SMS",Electronics,Likely,"Brand reputation, Discounts/Offers",Yes,Very unlikely,688.0,Yes,Very comfortable,"Complicated checkout, Slow delivery",Sometimes,1.0,Disinterested
18–24,Male,Postgraduate,9173.0,West,2+ hours,Instagram,Electronics,Unlikely,"Discounts/Offers, Product reviews",Yes,Neutral,1763.0,No,Neutral,Too many choices,Sometimes,5.0,Neutral
35–44,Female,High school,10039.0,South,1–2 hours,"Facebook, Google Ads, Instagram",Electronics,Likely,"Personalization, Visual appeal",No,Likely,1238.0,Maybe,Uncomfortable,"Slow delivery, Too many choices",Sometimes,5.0,Open but cautious
18–24,Female,Postgraduate,9477.0,East,<30 mins,"Email, SMS",Services,Likely,"Brand reputation, Friend recommendations",Yes,Neutral,888.0,Yes,Very uncomfortable,Not enough discounts,Always,2.0,Neutral
35–44,Female,Undergraduate,33732.0,South,2+ hours,"Facebook, Google Ads",Apparel,Likely,"Brand reputation, Discounts/Offers",No,Neutral,646.0,No,Uncomfortable,"Others, Too many choices",Always,3.0,Open but cautious
25–34,Male,Undergraduate,47190.0,Central/Other,30–60 mins,"Other, SMS",Services,Very likely,"Brand reputation, Product reviews",Yes,Neutral,877.0,Maybe,Uncomfortable,"Not enough discounts, Others, Too many choices",Sometimes,1.0,Open but cautious
45–54,Female,,54542.0,North,30–60 mins,"Facebook, Instagram, SMS",Groceries,Neutral,"Personalization, Visual appeal",No,Likely,1176.0,No,Neutral,"Lack of trust, Not enough discounts, Others",Sometimes,5.0,Skeptical
18–24,Female,Undergraduate,30879.0,West,1–2 hours,"Google Ads, Other",Electronics,Very likely,"Brand reputation, Friend recommendations",Yes,Very unlikely,2530.0,Yes,Uncomfortable,Lack of trust,Rarely,5.0,Disinterested
25–34,Non-binary/Other,Undergraduate,10895.0,Central/Other,<30 mins,"Email, Google Ads, Instagram",Groceries,Likely,"Friend recommendations, Visual appeal",No,Neutral,2119.0,No,Very uncomfortable,"Not enough discounts, Slow delivery",Always,3.0,Disinterested
18–24,Male,High school,17476.0,Central/Other,1–2 hours,"Other, SMS",Electronics,Likely,"Discounts/Offers, Friend recommendations",No,Unlikely,2734.0,No,Very uncomfortable,"Complicated checkout, Too many choices",Sometimes,5.0,Open but cautious
45–54,Female,High school,16536.0,Central/Other,1–2 hours,"Email, Google Ads",Apparel,Likely,"Friend recommendations, Personalization",Yes,Likely,787.0,No,Comfortable,"Lack of trust, Others",Rarely,5.0,Open but cautious
45–54,Female,Undergraduate,14777.0,North,30–60 mins,"Facebook, Google Ads, SMS",Groceries,Neutral,"Friend recommendations, Personalization",Yes,Unlikely,259.0,Maybe,Comfortable,"Others, Too many choices",Sometimes,5.0,Open but cautious
25–34,Male,Undergraduate,29312.0,East,30–60 mins,Email,,Very likely,"Product reviews, Visual appeal",Yes,Likely,953.0,No,Neutral,"Others, Slow delivery, Too many choices",Rarely,5.0,Open but cautious
35–44,Female,Postgraduate,27698.0,North,30–60 mins,Google Ads,Groceries,Likely,"Discounts/Offers, Product reviews",Yes,Unlikely,1528.0,Maybe,Very comfortable,Slow delivery,Sometimes,2.0,Open but cautious
45–54,Female,Postgraduate,18438.0,East,<30 mins,"Email, SMS",Apparel,Very unlikely,"Brand reputation, Friend recommendations",No,Unlikely,1306.0,No,Uncomfortable,"Not enough discounts, Slow delivery",Sometimes,2.0,Open but cautious
25–34,Male,Postgraduate,12195.0,Central/Other,1–2 hours,"Instagram, SMS",Services,Neutral,"Discounts/Offers, Personalization",No,Very likely,3683.0,Yes,Very comfortable,"Lack of trust, Not enough discounts",Rarely,4.0,Neutral
25–34,Male,Postgraduate,57047.0,Central/Other,2+ hours,Other,Electronics,Likely,"Brand reputation, Personalization",Yes,Very unlikely,1721.0,No,Comfortable,"Lack of trust, Others, Too many choices",Never,1.0,Neutral
18–24,Female,Undergraduate,28045.0,West,<30 mins,"Instagram, Other, SMS",Apparel,Unlikely,"Discounts/Offers, Visual appeal",No,Neutral,735.0,Maybe,Uncomfortable,"Not enough discounts, Slow delivery",Always,3.0,Neutral
18–24,Male,Undergraduate,16219.0,East,<30 mins,Google Ads,Electronics,Very unlikely,"Discounts/Offers, Product reviews",No,Very unlikely,2133.0,No,Comfortable,"Complicated checkout, Lack of trust, Too many choices",Often,4.0,Skeptical
45–54,Female,Postgraduate,49616.0,Central/Other,1–2 hours,"Email, Other, SMS",Groceries,Likely,"Brand reputation, Product reviews",No,Neutral,332.0,Yes,Comfortable,Complicated checkout,,2.0,Excited
45–54,Male,Undergraduate,107803.0,South,2+ hours,"Google Ads, Other",Groceries,Neutral,"Discounts/Offers, Personalization",Yes,Neutral,822.0,Yes,Neutral,"Complicated checkout, Others, Too many choices",Sometimes,2.0,Excited
35–44,Female,Undergraduate,17061.0,West,30–60 mins,"Email, Instagram, SMS",Electronics,Neutral,"Brand reputation, Friend recommendations",Yes,Neutral,876.0,Yes,Very comfortable,Too many choices,Often,2.0,Neutral
25–34,Male,High school,19620.0,North,30–60 mins,"Email, Google Ads, Instagram",Services,Neutral,"Friend recommendations, Product reviews",Yes,Unlikely,2217.0,Yes,Uncomfortable,"Complicated checkout, Lack of trust",Sometimes,4.0,Open but cautious
25–34,Female,Undergraduate,30901.0,West,1–2 hours,Instagram,Apparel,Unlikely,"Discounts/Offers, Personalization",Yes,Neutral,1361.0,No,Neutral,"Complicated checkout, Others, Slow delivery",Rarely,2.0,Open but cautious
35–44,Non-binary/Other,Undergraduate,45582.0,South,30–60 mins,"Facebook, Other, SMS",Electronics,Likely,"Discounts/Offers, Personalization",Yes,Likely,652.0,Yes,Uncomfortable,"Not enough discounts, Others, Slow delivery",Rarely,4.0,Excited
45–54,Non-binary/Other,Postgraduate,42015.0,East,<30 mins,"Other, SMS",Services,Likely,"Brand reputation, Visual appeal",Yes,Likely,484.0,Maybe,Uncomfortable,Others,Rarely,2.0,Open but cautious
45–54,Female,Undergraduate,11789.0,North,1–2 hours,"Instagram, SMS",Services,Neutral,"Discounts/Offers, Product reviews",Yes,Neutral,1489.0,Yes,Uncomfortable,"Complicated checkout, Slow delivery, Too many choices",Rarely,5.0,Neutral
35–44,Male,Undergraduate,16806.0,North,1–2 hours,Other,Groceries,Neutral,"Friend recommendations, Visual appeal",No,Neutral,3621.0,Yes,Very comfortable,"Complicated checkout, Lack of trust, Too many choices",Always,5.0,Skeptical
35–44,Female,Other,30636.0,East,1–2 hours,"Facebook, Instagram",Services,Likely,"Discounts/Offers, Personalization",Yes,Unlikely,997.0,No,Uncomfortable,Complicated checkout,Never,1.0,Skeptical
18–24,Male,High school,33649.0,West,1–2 hours,Other,Apparel,Unlikely,"Discounts/Offers, Friend recommendations",Yes,Unlikely,301.0,Yes,Neutral,"Complicated checkout, Others",Sometimes,,Open but cautious
18–24,Male,Undergraduate,11052.0,Central/Other,1–2 hours,"Instagram, SMS",Services,Unlikely,"Friend recommendations, Personalization",Yes,Unlikely,1782.0,Maybe,Neutral,"Lack of trust, Others",Sometimes,1.0,Open but cautious
45–54,Male,High school,58749.0,West,,"Facebook, Google Ads, Instagram",Apparel,Unlikely,"Personalization, Visual appeal",Yes,Unlikely,1465.0,Yes,Very comfortable,Slow delivery,Rarely,4.0,Skeptical
35–44,Male,Undergraduate,34023.0,South,30–60 mins,Other,Apparel,Likely,"Friend recommendations, Product reviews",Yes,Unlikely,790.0,No,Very comfortable,"Complicated checkout, Not enough discounts",Sometimes,1.0,Open but cautious
